#{"t_start": 1647445048.053038, "env_id": null}
r,l,t
687.784891,1,5.838693
741.072464,1,11.516467
714.718808,1,16.660147
760.212668,1,22.410297
694.366057,1,28.569727
768.371596,1,34.262889
715.855712,1,39.368008
661.49389,1,44.873682
755.722479,1,50.990962
651.262959,1,56.383595
742.957132,1,62.002284
663.163641,1,70.005097
658.821937,1,74.769338
642.093525,1,80.525843
714.7395,1,85.947809
630.78454,1,91.527559
651.680388,1,96.619076
652.163048,1,102.029951
622.125125,1,106.755462
621.408229,1,112.633807
740.307616,1,118.494735
718.602562,1,124.499442
709.711739,1,129.489237
663.728921,1,134.998383
696.945766,1,140.252047
743.709038,1,146.183217
732.304414,1,151.418282
638.663863,1,156.290333
780.53278,1,162.057952
620.76689,1,166.706637
621.448907,1,170.947778
786.19786,1,176.655613
707.638067,1,182.133521
745.47933,1,188.198697
651.434897,1,195.653817
665.474919,1,200.662088
710.607411,1,205.895822
693.534501,1,211.969586
641.810042,1,217.689682
731.167447,1,222.790064
744.879936,1,228.944566
632.186738,1,234.091632
691.718659,1,239.700182
651.775633,1,244.180765
664.081147,1,249.552621
682.627687,1,255.522969
647.390925,1,262.1889
724.602045,1,267.818642
637.114721,1,273.171223
752.466926,1,278.311261
726.710069,1,284.742286
696.666134,1,290.158558
734.761968,1,295.946511
640.929519,1,300.607033
667.656884,1,306.011002
749.514624,1,312.080038
664.583524,1,317.851538
682.887752,1,322.338244
704.226117,1,327.851732
537.523389,1,332.146487
692.315138,1,337.857437
723.637798,1,343.683845
751.587676,1,349.721314
657.45881,1,354.722646
688.709144,1,359.943991
653.470649,1,364.436304
709.019487,1,369.818505
649.853485,1,375.099217
779.315843,1,380.478263
691.371389,1,386.325052
733.694207,1,392.173561
648.625472,1,397.303227
705.619113,1,402.317803
624.461722,1,407.316163
732.85533,1,412.535359
609.938509,1,417.68004
694.496984,1,422.303698
698.307039,1,427.660458
703.141336,1,432.953116
656.305703,1,438.556755
697.930438,1,444.394513
697.707031,1,449.970665
686.607786,1,455.221312
666.279558,1,460.731687
741.296825,1,465.619498
715.363104,1,471.147436
778.425146,1,476.889052
693.153278,1,483.140807
716.157965,1,489.784492
654.841147,1,495.367771
685.599274,1,500.782341
668.895718,1,505.853226
623.634665,1,510.218178
695.09181,1,515.834439
701.836955,1,520.864919
731.217759,1,526.817101
699.872505,1,532.191479
816.813824,1,540.400063
714.209828,1,545.765991
693.229269,1,550.418974
651.812945,1,555.72578
745.981965,1,561.853541
767.379516,1,567.640755
659.162841,1,572.802483
690.33484,1,578.894343
709.374077,1,584.063173
777.069167,1,590.466071
656.451432,1,595.787933
665.676681,1,601.749093
697.996181,1,606.928459
673.525836,1,611.930747
647.88247,1,617.082332
671.474002,1,622.40432
736.00959,1,627.830863
701.620082,1,633.094799
669.927913,1,637.938832
729.674025,1,643.719941
798.985476,1,648.834239
628.613069,1,653.667653
680.264446,1,658.704711
749.532384,1,664.288407
648.443758,1,669.454072
684.686986,1,674.814013
642.794631,1,679.364337
655.97532,1,684.093295
652.716699,1,689.972423
704.075541,1,697.27281
